Time,Fx,Fy,Fz,Mx,My,Mz
0.014245033264160156,130.0,41.129999999999995,-670.105,-1564.055,-1279.985,969.6949999999999
0.038237571716308594,132.0,67.13,-627.105,-2106.055,-1119.985,977.6949999999999
0.06218671798706055,134.0,79.13,-578.105,-2465.055,-834.985,1030.695
0.08676791191101074,124.0,97.13,-553.105,-3123.055,-390.985,827.6949999999999
0.11119484901428223,122.0,93.13,-519.105,-3361.055,-108.985,595.6949999999999
0.13527917861938477,151.0,105.13,-532.105,-3724.055,328.015,377.695
0.15948772430419922,180.0,144.13,-525.105,-4629.055,947.015,220.695
0.18445396423339844,187.0,147.13,-376.105,-4892.055,1543.015,131.695
0.20929837226867676,185.0,124.13,-303.105,-3274.055,1717.015,248.695
0.23336577415466309,227.0,146.13,-273.105,-3196.055,2096.015,391.695
0.2582876682281494,244.0,152.13,-189.10500000000002,-2969.055,2684.015,634.6949999999999
0.2822999954223633,219.0,132.13,-190.10500000000002,-2256.055,2737.015,962.6949999999999
0.30638933181762695,181.0,91.13,-188.10500000000002,-1085.055,2288.015,864.6949999999999
0.3303532600402832,174.0,80.13,-329.105,-446.055,1859.015,924.6949999999999
0.3543257713317871,149.0,80.13,-447.105,-988.0550000000001,1437.015,791.6949999999999
0.3783729076385498,154.0,87.13,-424.105,-1485.055,1499.015,294.695
0.40320873260498047,114.0,73.13,-453.105,-1141.055,1234.015,-126.305
0.4273056983947754,106.0,45.129999999999995,-590.105,-67.055,135.015,-457.305
0.4513225555419922,130.0,40.129999999999995,-590.105,172.945,338.015,-394.305
0.47542476654052734,119.0,20.129999999999995,-637.105,665.9449999999999,375.015,-168.305
0.5003459453582764,98.0,5.1299999999999955,-699.105,852.9449999999999,219.015,-90.305
0.5244371891021729,135.0,-22.870000000000005,-743.105,1216.945,50.015,265.695
0.5493130683898926,130.0,-45.870000000000005,-785.105,1231.945,-185.985,575.6949999999999
0.5734426975250244,137.0,-33.870000000000005,-819.105,784.9449999999999,-394.985,713.6949999999999
0.5984070301055908,141.0,-31.870000000000005,-788.105,161.945,-553.985,684.6949999999999
0.6225094795227051,149.0,-17.870000000000005,-768.105,-179.055,-841.985,767.6949999999999
