,Period,Time,Fx,Fy,Fz,Mx,My,Mz
0,0.0,39.67461323738098,-30.082555621347314,-120.90381839926663,-324.9950921423465,2284.783023399483,487.45103361793207,59.73613512418906
1,1.0,9.763780236244202,-49.45975052738116,-33.39812713223476,-663.1100517382306,-1296.0019012512887,-76.07272875465706,116.63468904163463
2,10.0,15.530304551124573,-41.260182938506155,-42.93428522942105,-627.5194220898933,-1096.2616362719746,55.84041555642577,278.8548931294324
3,100.0,54.532697319984436,-50.96985565243111,-154.8672990647686,-611.0788621566005,1667.1281315788447,-727.7391815684706,-11.381648719518989
4,101.0,54.87022662162781,-46.540651591905615,-147.15832124133905,-556.7424103804377,1360.0259838443556,-610.6222495703162,163.1518509265489
5,102.0,55.220208406448364,-42.817861938425,-147.93184505819963,-578.5812672426281,1469.484722904925,-734.1970881412147,76.53507651265151
6,103.0,55.56978178024292,-47.77735636154552,-145.5391850109682,-549.3641336089095,1294.7822109969068,-576.4738884407079,107.90840985669554
7,104.0,55.91947853565216,-43.40668922947563,-146.1544932801259,-572.6935186234507,1396.3158963886035,-770.0829940287604,81.80107290013966
8,105.0,56.26941359043121,-53.083169590702575,-153.63920217825824,-540.8841039547902,1587.8309361629904,-654.2153779895756,112.45731214329258
9,106.0,56.60680794715881,-41.15333239490197,-149.8970038018354,-581.2848178566293,1414.8369522487008,-757.2025610676253,101.0279644403176
10,107.0,56.931915163993835,-52.91914257877274,-163.15604828376522,-595.7846787436665,1956.7897711782953,-702.6020166229844,4.239756620326681
11,108.0,57.269561648368835,-44.590432248066705,-150.55045765637092,-520.4284634161501,1490.3932987523776,-576.4572720714688,91.27326171879109
12,109.0,57.61909198760986,-42.772625271379134,-149.5242977757326,-566.242071406286,1586.0653064389942,-689.4650561514411,49.68452022421871
13,11.0,16.117855072021484,-44.48036526192717,-44.80557642897714,-643.9848818581614,-1085.0680334846868,90.97163722295049,258.9241305899682
14,110.0,57.95609128475189,-56.551447505482315,-160.01626555617594,-578.3762770626704,1763.5260048535165,-595.8787052003551,5.133460092809519
15,111.0,58.29369676113129,-39.313514515019634,-149.0842788069129,-522.580333316504,1345.061595091207,-573.2970371366376,149.0211441499649
16,112.0,58.630595684051514,-47.77586520466509,-156.5540362830589,-610.2048040921125,1615.42406420347,-675.7795001552392,-2.8053463770339384
17,113.0,58.967522859573364,-51.54295369309805,-155.88571426249,-538.8469859740326,1701.652035551334,-522.4651644828994,51.21009499978817
18,114.0,59.305115938186646,-38.50776405941163,-154.6390838237553,-556.4985085056994,1390.1887832129041,-615.3885344029917,57.13758994914917
19,115.0,59.63011157512665,-46.4065734268395,-163.87627104111036,-594.0547719744804,1946.8891498383894,-721.5727230727639,-13.963279768551795
20,116.0,59.95506811141968,-53.03242416374249,-170.37377149732086,-561.0919194842968,2090.0900291619982,-513.0674335569817,-22.82214687325502
21,117.0,60.28006732463837,-48.540274256134076,-165.71513928018592,-543.5734327327315,1804.8902411268427,-464.0278551582644,52.47368964036593
22,118.0,60.60457098484039,-38.89680822146824,-158.288707987174,-553.6633706238092,1554.4796387551703,-492.63690906991695,4.441234754497566
23,119.0,60.92901563644409,-38.00951938176268,-159.5196080897044,-553.2268035379896,1529.900649486481,-541.6137576796872,-33.043016119606094
24,12.0,16.70545482635498,-46.03565290841802,-44.205193263877035,-637.1898222678644,-1028.0459242200143,91.2339405324138,251.32125855866093
25,120.0,61.25420093536377,-44.597123785801216,-165.7483336324804,-591.6633398201549,1846.811472647747,-561.7406804515662,-97.72617453164929
26,121.0,61.566343903541565,-53.26330536308227,-177.24305652525882,-614.3748423236817,2127.8155364181007,-464.91598446619065,-149.4634985223437
27,122.0,61.89021706581116,-47.575541683675944,-162.49023631127952,-494.44593363482426,1767.7083778106785,-341.3630633473643,-28.69127673288812
28,123.0,62.22723090648651,-40.41374712002083,-162.20655857078984,-535.493702231118,1500.4490724780178,-447.41394658455675,-16.540844147729423
29,124.0,62.539555311203,-45.3273582055062,-171.52625675647772,-622.6926322275931,1889.1671386899604,-718.6517027489393,-114.97236964203269
30,125.0,62.851606369018555,-48.954683799356594,-173.77182983990713,-579.585913973756,2259.4071804959713,-761.7477435830255,-132.64222101048964
