Time,Fx,Fy,Fz,Mx,My,Mz
0.01394200325012207,1.88,0.37,-10.93,-0.361,0.0451,0.0755
0.030925750732421875,2.22,0.95,-10.64,-0.4361,0.0518,0.0293
0.04811239242553711,2.42,1.64,-10.81,-0.5067,0.0221,0.0412
0.06499433517456055,2.62,2.31,-10.6,-0.622,0.0297,0.0626
0.08205699920654297,2.64,3.03,-10.62,-0.7588,0.0547,0.0609
0.09900999069213867,2.64,3.03,-10.62,-0.7588,0.0547,0.0609
0.11603498458862305,2.52,3.31,-9.81,-0.8538,0.0672,0.049
0.1330115795135498,2.74,3.79,-9.59,-0.9094,0.0862,0.0284
0.15010666847229004,2.92,4.75,-9.47,-1.0192,0.1081,0.0278
0.16715741157531738,2.89,5.07,-7.38,-1.0085,0.1242,0.0384
0.1841437816619873,2.53,5.4,-7.42,-0.9101,0.0777,0.0843
0.21409249305725098,2.34,5.62,-7.09,-0.8956,0.0486,0.1017
0.23104119300842285,2.59,5.59,-5.76,-0.8325,0.0952,0.0784
0.24795842170715332,2.67,5.61,-5.77,-0.7309,0.1241,0.092
0.265059232711792,2.49,5.3,-6.15,-0.6445,0.1097,0.0942
0.2819676399230957,2.43,5.11,-6.43,-0.5731,0.0608,0.0923
0.2989671230316162,2.43,5.11,-6.43,-0.5731,0.0608,0.0923
0.3159518241882324,2.44,4.48,-6.31,-0.4663,0.0023,0.1045
0.3329446315765381,2.5,3.99,-7.52,-0.4111,-0.0188,0.1281
0.35002613067626953,2.66,3.65,-7.97,-0.4463,0.0338,0.1241
0.36696362495422363,2.7,3.01,-7.94,-0.4061,0.0805,0.0966
0.4006195068359375,2.59,2.77,-9.18,-0.3523,0.0257,0.105
0.4179959297180176,2.59,2.32,-9.26,-0.3127,-0.0372,0.1268
0.43503570556640625,2.64,1.93,-9.24,-0.2387,-0.0406,0.1403
0.45203590393066406,2.49,1.64,-10.2,-0.171,-0.0764,0.173
0.468886137008667,2.23,1.04,-10.24,-0.1327,-0.0931,0.1855
0.4859659671783447,2.3,0.72,-10.62,-0.1248,-0.0736,0.1771
0.5030252933502197,2.07,0.14,-10.68,-0.1055,-0.0789,0.1737
0.5200471878051758,1.81,-0.26,-10.92,-0.0732,-0.0975,0.182
0.5370736122131348,1.81,-0.26,-10.92,-0.0732,-0.0975,0.182
0.5541129112243652,1.84,-0.21,-11.35,-0.118,-0.069,0.1645
0.5710594654083252,1.93,-0.12,-11.07,-0.1793,-0.0194,0.1195
0.5880477428436279,1.98,0.22,-11.44,-0.2462,-0.022,0.1162
0.6050271987915039,1.84,0.38,-10.85,-0.3462,-0.0029,0.0989
